State,Confirmed,Recovered,Deaths,Active,Last_Updated_Time,State_code,Delta_Confirmed,Delta_Recovered,Delta_Deaths,State_Notes
Total,32273,7968,1034,23271,29/04/2020 20:12:45,TT,913,221,26,
Maharashtra,9318,1388,400,7530,29/04/2020 08:52:45,MH,0,0,0,
Gujarat,4082,434,197,3451,29/04/2020 20:12:45,GJ,308,0,16,
Delhi,3314,1078,54,2182,28/04/2020 22:22:46,DL,0,0,0,
Madhya Pradesh,2560,373,122,2065,29/04/2020 20:12:46,MP,173,0,2,
Rajasthan,2393,781,52,1560,29/04/2020 16:01:45,RJ,29,11,0,
Tamil Nadu,2162,1210,27,925,29/04/2020 19:12:47,TN,104,82,2,
Uttar Pradesh,2134,510,39,1585,29/04/2020 20:12:47,UP,81,48,5,
Andhra Pradesh,1332,287,31,1014,29/04/2020 11:32:45,AP,73,29,0,
Telangana,1009,374,25,610,28/04/2020 20:32:46,TG,0,0,0,
West Bengal,725,119,22,584,29/04/2020 09:32:46,WB,28,10,0,WB totals and district numbers are currently updated according to https://www.mohfw.gov.in
Jammu and Kashmir,581,192,8,381,28/04/2020 17:51:56,JK,16,16,0,
Karnataka,534,216,21,297,29/04/2020 19:22:45,KA,11,9,1,
Kerala,496,369,4,123,28/04/2020 17:30:38,KL,10,10,0,Mahe native who expired in Kannur included in Kerala's tally
Bihar,392,64,2,326,29/04/2020 20:01:48,BR,26,0,0,
Punjab,375,101,19,255,29/04/2020 20:02:49,PB,33,0,0,
Haryana,311,225,3,83,29/04/2020 20:01:51,HR,3,1,0,
Odisha,125,39,1,85,29/04/2020 18:43:47,OR,7,1,0,
Jharkhand,105,19,3,83,29/04/2020 00:32:47,JH,0,0,0,
Chandigarh,67,17,0,50,29/04/2020 16:01:46,CH,11,0,0,
Uttarakhand,54,36,0,18,29/04/2020 19:12:50,UT,0,2,0,
Himachal Pradesh,40,25,2,13,28/04/2020 01:11:56,HP,0,0,0,Death of Tibetan refugee included
Assam,38,29,1,8,29/04/2020 18:12:48,AS,0,2,0,Includes one case from Nagaland
Chhattisgarh,38,34,0,4,28/04/2020 23:41:48,CT,0,0,0,
Andaman and Nicobar Islands,33,15,0,18,28/04/2020 11:32:57,AN,0,0,0,
Ladakh,22,16,0,6,28/04/2020 16:11:56,LA,0,0,0,
Meghalaya,12,0,1,11,18/04/2020 12:38:07,ML,0,0,0,
Puducherry,8,5,0,3,27/04/2020 23:21:56,PY,0,0,0,
Goa,7,7,0,0,19/04/2020 17:04:07,GA,0,0,0,
Manipur,2,2,0,0,20/04/2020 10:04:08,MN,0,0,0,
Tripura,2,2,0,0,23/04/2020 20:47:41,TR,0,0,0,
Mizoram,1,0,0,1,26/03/2020 07:19:29,MZ,0,0,0,
Arunachal Pradesh,1,1,0,0,16/04/2020 19:33:11,AR,0,0,0,
Nagaland,0,0,0,0,20/04/2020 08:45:07,NL,0,0,0,
Dadra and Nagar Haveli,0,0,0,0,17/04/2020 15:03:07,DN,0,0,0,
Daman and Diu,0,0,0,0,26/03/2020 07:19:29,DD,0,0,0,
Lakshadweep,0,0,0,0,26/03/2020 07:19:29,LD,0,0,0,
Sikkim,0,0,0,0,26/03/2020 07:19:29,SK,0,0,0,